"","YHOO","GOOG","MSFT"
"596","43.27","766.6534","56.66"
"597","43.26","767.1","56.66"
"598","43.28","766.77","56.6538"
"599","43.29","766.47","56.72"
"600","43.28","766.84","56.7834"
"601","43.2","766.25","56.705"
"602","43.19","765.36","56.62"
"603","43.19","765.16","56.575"
"604","43.27","766.66","56.72"
"605","43.28","766.68","56.725"
"606","43.38","768.34","56.85"
"607","43.38","768.316","56.91"
"608","43.43","768.82","56.96"
"609","43.51","769.3482","56.9834"
"610","43.5065","769.4","56.97"
"611","43.5","769.22","57.03"
"612","43.51","769.21","57.03"
"613","43.56","769.34","57.075"
"614","43.48","768.84","57.035"
"615","43.455","768.59","57.03"
"616","43.53","769.87","57.105"
"617","43.5","769.81","57.125"
"618","43.46","769.26","57.06"
"619","43.445","769.3","57.04"
"620","43.515","769.09","57.065"
"621","43.54","769.27","57.09"
"622","43.6","769.42","57.13"
"623","43.6","768.81","57.07"
"624","43.53","768.28","57.02"
"625","43.55","769.22","57.11"
"626","43.5001","768.62","57.055"
"627","43.495","768.34","57.025"
"628","43.49","768.79","57.07"
"629","43.52","769.34","57.13"
"630","43.45","767.81","57.02"
"631","43.41","768.13","56.98"
"632","43.46","769.02","57.05"
"633","43.08","764.25","56.46"
"634","43.07","762.64","56.5"
"635","43.41","764.62","56.59"
"636","43.37","761.62","56.37"
"637","43.3","761.96","56.36"
"638","43.17","761.53","56.44"
"639","43.14","761.64","56.38"
"640","43.105","762.18","56.35"
"641","43.14","762.42","56.3"
"642","43.143","761.15","56.295"
"643","43.28","761.8","56.2634"
"644","43.27","761.78","56.28"
"645","43.27","760.56","56.33"
"646","43.29","760.9","56.4"
"647","43.28","760.46","56.409"
"648","43.28","760.23","56.395"
"649","43.22","759.97","56.31"
"650","43.14","759.28","56.22"
"651","42.9901","759.05","56.22"
"652","43.05","758.9","56.2"
"653","43.01","759.18","56.22"
"654","42.92","758.99","56.13"
"655","42.92","758.69","56.16"
"656","42.96","758.1801","56.205"
"657","42.93","757.7","56.1"
"658","43.04","758.15","56.1001"
"659","42.8801","758.12","56.165"
"660","42.94","758.5591","56.27"
"661","42.83","757.985","56.22"
"662","42.85","758.34","56.25"
"663","42.81","758.78","56.26"
"664","42.8","758.16","56.21"
"665","42.87","758.39","56.26"
"666","43.01","759.88","56.42"
"667","42.99","759.48","56.38"
"668","42.9","758.8144","56.295"
"669","42.8","758.75","56.21"
"670","42.8","758.198","56.21"
"671","42.85","757.955","56.28"
"672","42.88","758.05","56.295"
"673","42.857","757.69","56.2"
"674","42.81","758.03","56.18"
"675","42.81","757.92","56.18"
"676","42.71","757.3036","56.1"
"677","42.76","757.31","56.18"
"678","42.77","757.66","56.22"
"679","42.9","759.55","56.355"
"680","42.905","758","56.2752"
"681","43.06","759.4","56.37"
"682","42.96","758.47","56.265"
"683","43","758.78","56.345"
"684","42.98","758.41","56.25"
"685","43.05","759.14","56.34"
"686","42.93","757.9","56.22"
"687","42.955","758.11","56.29"
"688","42.92","757.93","56.3"
"689","42.95","758.56","56.355"
"690","42.93","758.565","56.38"
"691","42.89","758.09","56.285"
"692","42.87","758.43","56.28"
"693","42.8165","757.31","56.2"
"694","42.83","757.99","56.255"
"695","42.83","758.03","56.3"
"696","42.92","759.04","56.37"
"697","42.93","759.01","56.35"
"698","42.91","758.9199","56.32"
"699","42.83","757.72","56.22"
"700","42.85","757.4205","56.21"
"701","42.88","757.3","56.22"
"702","42.83","756.24","56.17"
"703","42.92","758.4","56.29"
"704","42.93","758.75","56.26"
"705","42.95","759.63","56.32"
"706","42.975","759.6","56.36"
"707","43","759.47","56.445"
"708","42.91","758.14","56.34"
"709","42.945","758.99","56.415"
"710","43.075","761.31","56.64"
"711","43.04","759.69","56.53"
"712","42.86","759.61","56.38"
"713","43.48","762.6","56.335"
"714","43.45","763.76","56.21"
"715","43.29","763.36","56.19"
"716","43.24","763.315","56.12"
"717","43.16","763.685","56.08"
"718","43.26","763.5301","56.1301"
"719","43.37","763.02","56.1707"
"720","43.515","763.76","56.24"
"721","43.575","764.6002","56.245"
"722","43.51","764.56","56.275"
"723","43.53","766.05","56.39"
"724","43.48","765.85","56.45"
"725","43.55","767.2958","56.58"
"726","43.425","765.5","56.565"
"727","43.36","765.08","56.575"
"728","43.38","765.395","56.5146"
"729","43.31","765.295","56.53"
"730","43.33","764.965","56.49"
"731","43.385","764.6324","56.51"
"732","43.35","763.24","56.331"
"733","43.37","764.6","56.45"
"734","43.37","764.455","56.45"
"735","43.42","765.33","56.49"
"736","43.49","764.755","56.46"
"737","43.35","763.81","56.4"
"738","43.39","763.78","56.39"
"739","43.39","764.01","56.41"
"740","43.385","764.46","56.42"
"741","43.425","764.8043","56.44"
"742","43.48","764.91","56.52"
"743","43.42","765.28","56.5529"
"744","43.43","764.86","56.5381"
"745","43.45","764.98","56.57"
"746","43.51","765.45","56.62"
"747","43.46","764.84","56.57"
"748","43.475","765.0606","56.585"
"749","43.53","765.09","56.5647"
"750","43.46","764.13","56.53"
"751","43.43","764.16","56.475"
"752","43.425","764.25","56.4599"
"753","43.38","764","56.415"
"754","43.39","763.5","56.485"
"755","43.38","764.032","56.49"
"756","43.43","764.12","56.472"
"757","43.39","763.76","56.425"
"758","43.42","763.4958","56.41"
"759","43.46","763.74","56.46"
"760","43.46","764","56.4799"
"761","43.47","764.29","56.49"
"762","43.48","763.95","56.405"
"763","43.4801","764.6","56.415"
"764","43.42","763.53","56.31"
"765","43.47","764.29","56.33"
"766","43.44","764.02","56.28"
"767","43.45","763.71","56.27"
"768","43.35","763","56.21"
"769","43.32","761.98","56.15"
"770","43.425","763.74","56.24"
"771","43.46","764.27","56.26"
"772","43.42","763.99","56.26"
"773","43.43","763.62","56.27"
"774","43.405","763.24","56.25"
"775","43.46","763.56","56.34"
"776","43.42","763","56.28"
"777","43.435","763","56.28"
"778","43.49","763.89","56.34"
"779","43.43","762.71","56.29"
"780","43.345","763","56.279"
"781","43.29","762.49","56.2"
"782","43.28","761.78","56.17"
"783","43.26","761.3925","56.095"
"784","43.28","760.9","56.05"
"785","43.32","762.33","56.1201"
"786","43.3","761.9","56.17"
"787","43.37","763.39","56.26"
"788","43.41","763.3","56.31"
"789","43.44","762.675","56.28"
"790","43.46","762.49","56.26"
"791","43.41","763","56.15"
"792","43.62","762.7875","56.25"
"793","43.54","762.62","56.27"
"794","43.47","762.01","56.23"
"795","43.51","763.46","56.19"
"796","43.56","764.01","56.24"
"797","43.625","763.41","56.21"
"798","43.59","763.15","56.26"
"799","43.56","762.7","56.3399"
"800","43.6","764.2","56.505"
"801","43.6","765.88","56.58"
"802","43.51","765.5","56.48"
"803","43.47","766.01","56.63"
"804","43.52","766.19","56.625"
"805","43.59","766.19","56.67"
"806","43.48","765.96","56.4636"
"807","43.58","766.83","56.58"
"808","43.62","767.78","56.74"
"809","43.73","768.21","56.86"
"810","43.795","767.73","56.7644"
"811","43.78","768.54","56.81"
"812","43.8","768.35","56.7866"
"813","43.8","768.89","56.7699"
"814","43.81","768.28","56.79"
"815","43.85","768.61","56.89"
"816","43.88","769.17","56.96"
"817","43.85","769.37","56.93"
"818","43.76","768.6899","56.8836"
"819","43.72","767.73","56.8759"
"820","43.77","768.55","56.93"
"821","43.76","768.33","56.885"
"822","43.83","768.6201","56.93"
"823","43.88","769.33","56.95"
"824","43.85","768.56","56.91"
"825","43.91","769.35","56.97"
"826","43.92","769.91","56.96"
"827","43.83","769.36","56.975"
"828","43.86","769.87","56.95"
"829","43.84","769.17","56.94"
"830","43.81","768.87","56.905"
"831","43.76","768.615","56.865"
"832","43.85","768.47","56.87"
"833","43.82","768.65","56.885"
"834","43.86","769.78","56.99"
"835","43.82","769.45","56.97"
"836","43.75","768.95","56.905"
"837","43.805","769.15","56.97"
"838","43.79","769.72","56.97"
"839","43.76","770","57"
"840","43.78","770.68","57.05"
"841","43.79","770.86","57.0225"
"842","43.85","772.02","57.055"
"843","43.86","771.96","57.0995"
"844","43.86","771.81","57.09"
"845","43.83","771.75","57.12"
"846","43.86","771.6","57.12"
"847","43.86","771.14","57.085"
"848","43.87","770.96","57.095"
"849","43.93","771.9","57.22"
"850","43.91","772.3767","57.195"
"851","43.9037","771.67","57.21"
"852","43.88","772","57.245"
"853","43.895","772.01","57.23"
"854","43.94","772.09","57.265"
"855","43.97","772.46","57.25"
"856","43.98","772.99","57.3"
"857","43.98","773.09","57.29"
"858","43.99","773.47","57.345"
"859","43.95","773.25","57.2702"
"860","43.94","773.77","57.295"
"861","43.92","772.92","57.24"
"862","43.92","772.76","57.24"
"863","43.91","773.2","57.255"
"864","43.97","772.83","57.25"
"865","44","773.25","57.3"
"866","44.025","772.7","57.27"
"867","44","772.25","57.21"
"868","44","772.17","57.195"
"869","43.99","771.76","57.19"
"870","43.94","769.69","57.41"
"871","43.91","767.94","56.965"
"872","43.85","767.52","56.9"
"873","43.86","767.2118","56.9"
"874","43.95","766.4275","56.95"
"875","43.77","765.84","57.04"
"876","43.92","766.55","57.28"
"877","43.75","765.54","57.08"
"878","43.71","765","57.11"
"879","43.71","766.5","57.17"
"880","43.745","767.39","57.24"
"881","43.67","766.33","57.145"
"882","43.66","766.47","57.1"
"883","43.68","767.07","57.08"
"884","43.79","767.64","57.15"
"885","43.81","767.6601","57.2334"
"886","43.8","767.15","57.27"
"887","43.85","766.86","57.29"
"888","43.73","766.27","57.19"
"889","43.74","765.98","57.08"
"890","43.73","765.3","57.05"
"891","43.78","766.31","57.1293"
"892","43.72","765.66","57.12"
"893","43.695","766.12","57.12"
"894","43.695","765.47","57.08"
"895","43.68","765.7","57.06"
"896","43.682","766.12","57.11"
"897","43.705","766.18","57.1152"
"898","43.76","766.07","57.1"
"899","43.705","765.89","57.09"
"900","43.695","765.67","57.12"
"901","43.72","766.195","57.1"
"902","43.725","767","57.175"
"903","43.72","766.61","57.17"
"904","43.735","766.67","57.19"
"905","43.755","767.5958","57.2001"
"906","43.77","767.91","57.16"
"907","43.76","767.7892","57.13"
"908","43.775","768.08","57.15"
"909","43.71","767.74","57.07"
"910","43.73","767.8599","57.095"
"911","43.79","768.2","57.14"
"912","43.76","767.46","57.0569"
"913","43.82","768.19","57.115"
"914","43.77","767.44","57.083"
"915","43.76","767.28","57.08"
"916","43.74","767.18","57.1"
"917","43.76","767.12","57.12"
"918","43.71","767.11","57.08"
"919","43.72","766.82","57.0775"
"920","43.715","766.411","57.08"
"921","43.66","766.19","57.0548"
"922","43.64","766.12","57.065"
"923","43.665","766.29","57.07"
"924","43.63","766.29","57.08"
"925","43.635","766.94","57.06"
"926","43.685","767.6344","57.105"
"927","43.665","767.485","57.1298"
"928","43.605","767.08","57.07"
"929","43.59","767.38","57.0701"
"930","43.605","767.33","57.075"
"931","43.56","767.6399","57.12"
"932","43.57","767.33","57.11"
"933","43.595","768.02","57.16"
"934","43.6","768.26","57.135"
"935","43.54","768.28","57.109"
"936","43.54","767.28","57.055"
"937","43.565","767.85","57.091"
"938","43.64","768.32","57.1"
"939","43.715","767.4254","57.09"
"940","43.705","766.96","57.085"
"941","43.73","766.8","57.065"
"942","43.75","766.805","57.099"
"943","43.82","767.56","57.24"
"944","43.8089","767.28","57.23"
"945","43.76","767.04","57.22"
"946","43.79","767.65","57.28"
"947","43.715","768.13","57.25"
"948","43.67","768.26","57.25"
"949","43.92","772.42","57.28"
"950","43.83","772.41","57.52"
"951","43.75","773.43","57.6"
"952","43.62","772.5","57.61"
"953","43.635","772.47","57.65"
"954","43.78","772.29","57.63"
"955","43.82","773.7648","57.745"
"956","43.785","772.8468","57.675"
"957","43.69","772.24","57.63"
"958","43.65","772.08","57.645"
"959","43.62","771.4","57.65"
"960","43.5","770.5","57.6"
"961","43.44","769.76","57.51"
"962","43.44","769.84","57.58"
"963","43.29","769.1","57.53"
"964","43.32","768.025","57.53"
"965","43.28","768.495","57.51"
"966","43.28","767.96","57.525"
"967","43.25","767.95","57.47"
"968","43.18","768.42","57.515"
"969","43.33","769.4","57.55"
"970","43.32","769","57.51"
"971","43.335","769.66","57.4983"
"972","43.315","769.45","57.43"
"973","43.29","769.79","57.38"
"974","43.255","769.68","57.37"
"975","43.33","769.66","57.4175"
"976","43.305","769.99","57.38"
"977","43.26","769.66","57.38"
"978","43.26","769.88","57.34"
"979","43.27","769.83","57.36"
"980","43.26","770","57.31"
"981","43.21","769.06","57.3"
"982","43.08","767.68","57.15"
"983","43.04","767.16","57.07"
"984","43.08","766.67","57.05"
"985","43.13","767.14","57.13"
"986","43.14","767.18","57.11"
"987","43.16","768.17","57.1199"
"988","43.18","768.3608","57.125"
"989","43.15","767.91","57.13"
"990","43.155","768.2","57.13"
"991","43.09","767.47","57.05"
"992","43.09","767.465","57.08"
"993","43.19","767.87","57.12"
"994","43.17","767.966","57.13"
"995","43.16","767.73","57.125"
"996","43.17","766.995","57.07"
"997","43.16","766.88","57.04"
"998","43.05","765.06","56.905"
"999","43.095","764.61","56.8743"
"1000","43.095","764.875","56.91"
"1001","43.13","765.13","56.9757"
"1002","43.19","765.68","56.975"
"1003","43.23","765.92","56.98"
"1004","43.28","766.12","57"
"1005","43.32","766.5765","57.04"
"1006","43.35","766.508","57.08"
"1007","43.33","766.51","57.06"
"1008","43.369","766.74","57.0432"
"1009","43.4","767.335","57.06"
"1010","43.42","767.18","57.08"
"1011","43.4","767.35","57.07"
"1012","43.425","767.9","57.075"
"1013","43.44","768.74","57.15"
"1014","43.4","768.92","57.19"
"1015","43.41","770.196","57.2236"
"1016","43.35","769.6","57.195"
"1017","43.3","769.38","57.16"
"1018","43.295","768.5","57.13"
"1019","43.27","768.11","57.06"
"1020","43.28","768.54","57.1"
"1021","43.24","767.8","57.02"
"1022","43.225","766.95","57.01"
"1023","43.25","766.91","57.045"
"1024","43.26","766.98","57.05"
"1025","43.23","766.57","56.99"
"1026","43.205","766.03","57.01"
"1027","43.19","765.7","56.93"
"1028","43.24","769.9","57.25"
"1029","43.21","770.42","57.24"
"1030","43.015","771.35","57.225"
"1031","43.085","771.3886","57.15"
"1032","43.05","771.1678","57.14"
"1033","43.16","771.39","57.23"
"1034","43.04","771.24","57.18"
"1035","43.14","771.92","57.14"
"1036","43.09","771.92","57.0652"
"1037","43","770.47","56.92"
"1038","42.96","770.21","57.01"
"1039","42.95","770.26","57.05"
"1040","42.97","770.8","57.02"
"1041","42.93","769.9","56.87"
"1042","42.91","769.05","56.82"
"1043","42.955","769.58","56.8534"
"1044","43.01","769.335","56.875"
"1045","42.95","768.66","56.855"
"1046","42.97","769.1804","56.92"
"1047","42.98","769.73","56.915"
"1048","42.99","770.17","56.97"
"1049","42.96","770.45","56.9"
"1050","42.94","770.3601","56.91"
"1051","42.89","769.7875","56.86"
"1052","42.86","769.64","56.82"
"1053","42.85","770.3","56.83"
"1054","42.84","770.22","56.84"
"1055","42.81","770.38","56.82"
"1056","42.81","770","56.825"
"1057","42.82","770.12","56.855"
"1058","42.77","769.8501","56.81"
"1059","42.77","769.92","56.795"
"1060","42.77","769.88","56.815"
"1061","42.73","769.7","56.815"
"1062","42.74","770.15","56.87"
"1063","42.7501","770.57","56.885"
"1064","42.82","771.38","56.94"
"1065","42.79","770.95","56.8899"
"1066","42.82","771.1","56.875"
"1067","42.76","770.741","56.85"
"1068","42.71","770.14","56.75"
"1069","42.751","770.12","56.84"
"1070","42.7","770.2","56.775"
"1071","42.671","770.3597","56.8048"
"1072","42.71","770.53","56.83"
"1073","42.69","770.37","56.815"
"1074","42.72","770.89","56.83"
"1075","42.735","771.13","56.83"
"1076","42.73","771.235","56.845"
"1077","42.71","771.19","56.85"
"1078","42.79","771.79","56.905"
"1079","42.75","771.7","56.87"
"1080","42.78","772.18","56.87"
"1081","42.75","772.05","56.86"
"1082","42.78","772.46","56.94"
"1083","42.8292","772.59","56.977"
"1084","42.781","772.37","56.97"
"1085","42.795","772.56","56.97"
"1086","42.78","772.7","56.965"
"1087","42.7899","772.48","56.9499"
"1088","42.775","772.18","56.92"
"1089","42.8","772.74","56.97"
"1090","42.82","773.0556","56.985"
"1091","42.78","772.49","56.945"
"1092","42.7631","772.7898","56.978"
"1093","42.75","772.8","56.94"
"1094","42.755","773.02","56.96"
"1095","42.76","772.1","56.935"
"1096","42.79","771.54","56.945"
"1097","42.81","772.6099","56.99"
"1098","42.845","772.63","56.9795"
"1099","42.81","772","56.98"
"1100","42.82","772.04","56.965"
"1101","42.84","771.9125","56.96"
"1102","42.86","772.19","56.96"
"1103","42.83","771.66","56.91"
"1104","42.85","772.19","56.93"
"1105","42.84","772.35","56.89"
"1106","42.79","771.41","56.81"
"1107","43","772.61","57.49"
"1108","43.275","774.99","57.095"
"1109","43.37","775.225","57.295"
"1110","43.38","773.76","57.2775"
"1111","43.47","773.75","57.4101"
"1112","43.67","774.34","57.39"
"1113","43.56","774.4","57.435"
"1114","43.595","774.4","57.495"
"1115","43.575","773.9","57.525"
"1116","43.62","774.14","57.5166"
"1117","43.72","774.03","57.47"
"1118","43.75","774.0675","57.51"
"1119","43.775","773.92","57.46"
"1120","43.8","773.97","57.4573"
"1121","43.8","773.85","57.47"
"1122","43.855","774.58","57.5252"
"1123","43.77","773.335","57.5"
"1124","43.75","773.665","57.53"
"1125","43.7","772.825","57.46"
"1126","43.76","772.76","57.515"
"1127","43.74","771.77","57.395"
"1128","43.69","771.49","57.38"
"1129","43.67","771.46","57.35"
"1130","43.75","771.87","57.395"
"1131","43.71","771.7522","57.4399"
"1132","43.63","770.5527","57.395"
"1133","43.69","771.1265","57.395"
"1134","43.63","770.839","57.35"
"1135","43.69","770.9","57.4364"
"1136","43.685","770.26","57.4"
"1137","43.735","770.13","57.365"
"1138","43.76","770.36","57.39"
"1139","43.7","770.37","57.41"
"1140","43.71","770.02","57.38"
"1141","43.68","768.94","57.24"
"1142","43.67","769.21","57.25"
"1143","43.7","769.5199","57.2258"
"1144","43.69","769.03","57.195"
"1145","43.69","768.77","57.15"
"1146","43.74","768.8","57.14"
"1147","43.73","769.4","57.115"
"1148","43.74","769.78","57.15"
"1149","43.8","770.37","57.175"
"1150","43.83","770.24","57.22"
"1151","43.855","770.5611","57.21"
"1152","43.92","770.46","57.21"
"1153","43.87","770.03","57.19"
"1154","43.85","769.9725","57.14"
"1155","43.82","769.88","57.21"
"1156","43.835","770.24","57.22"
"1157","43.84","769.4","57.21"
"1158","43.85","769.99","57.21"
"1159","43.85","770.44","57.27"
"1160","43.8301","769.6","57.25"
"1161","43.79","770","57.3"
"1162","43.97","772.44","57.33"
"1163","43.995","773.34","57.36"
"1164","43.98","774.19","57.38"
"1165","43.9","773.1424","57.325"
"1166","43.83","771.555","57.21"
"1167","43.84","770.24","57.19"
"1168","43.9","771.85","57.2647"
"1169","43.96","772.9","57.36"
"1170","43.96","773.555","57.435"
"1171","43.99","773.001","57.42"
"1172","43.91","773.1192","57.3744"
"1173","43.99","774.96","57.52"
"1174","43.9933","774.84","57.57"
"1175","44.01","774.9749","57.565"
"1176","44.03","776.07","57.64"
"1177","44.03","775.65","57.65"
"1178","44.1","775.49","57.655"
"1179","44.095","775.24","57.65"
"1180","44.13","775.45","57.735"
"1181","44.13","775.73","57.765"
"1182","44.18","775.94","57.815"
"1183","44.19","776.69","57.84"
"1184","44.15","776.7","57.79"
"1185","44.14","776.22","57.76"
